LINK,TITLE,TEXT
https://arcanum.fandom.com/wiki/Gamble_with_Gurin_Rockharrow,Gamble with Gurin Rockharrow: Walkthrough,"Location Gurin Rockharrow is the Gambling Mastery Trainer, and he can be found at the Wellington Gentlemen's Club in Tarant. Men are welcome. Ladies, see below. Stakes 5,000gp minimum is needed to play. 15,000gp is the safe amount to avoid going into debt with Gurin. Should the player run out of money anyway, then Gurin will loan the player an additional 5,000gp stake. This results in the player taking a temporary or permanent reputation hit until the debt is paid. Each round is for either 1,000gp or 2,000gp. Playing The quest needs to be completed during one playing session. Quitting early resets all of the playing progress. To complete the quest the player needs to have a net loss of at least 10,000gp with some number of wins after that point. Rewards If the player is successful then they will receive Master Training"
https://arcanum.fandom.com/wiki/Gamble_with_Gurin_Rockharrow,Gamble with Gurin Rockharrow: Notes,"Women are refused entry to the Gentlemen's Club, but they still have a few avenues: Pick Pocket the key from the doorman Use Unlocking Cantrip to unbar the door Find out the name of the Club Owner from the doorman, getting his address from the Hall of Records, and then paying him a visit Once you meet with Wendell Wellington the options branch further: Pay a bribe and sleep with him for a special invitation Pick Pocket the invite Kill him and his bodyguard and loot his corpse for the invite With 8 points (2 ranks) of melee, you can threaten him for it With 4 points (1 rank) of persuasion and a Reaction Modifier of 81 you can sweet talk him for it Using this invitation will allow a lady to come and go as she pleases"
https://arcanum.fandom.com/wiki/Acquire_Ten_Thousand_Gold_Pieces,Acquire Ten Thousand Gold Pieces: Short Description,"This quest requires accumulating and showing J.M. Morant 10,000 gp. Upon completion he will give Master Training in Haggle and as a bonus give you the Ring of Influence as well. If you have 10,000 gold before starting the quest J.M. Morant will commend you for having windfall money on you and will return 10,000 gold back to you.132 J.M. Morat: Bring him 10,000 gold in exchange for Master training. (Reward: Master Training in Haggle, Ring of Influence, conditionally 10,000 gp, 8500 XP.)"
https://arcanum.fandom.com/wiki/Find_the_Master_of_Heal,Find the Master of Heal: Short Description,"This is a work in progressFawn will train those who have a good alignment (+40), it is her only requirement. If you are having troubles finding her go south east from the first tree you see when you enter Qintarra."
https://arcanum.fandom.com/wiki/Negotiations_with_Caladon,Negotiations with Caladon: Walkthrough,"After the Living One speak with the elven queen in Qintarra, return to Tarant and approach the Willoughsby Residence (19 Pickwick Alley). Edward Willoughsby will exit the residence while talking to Perriman Smythe. When spoke to he will ask to meet in his office at the Tarant's City Hall. Find him there and ask what his job entails, he will mention the negotiations with Caladon about joining the Unified Kingdom and that they need a skilled diplomat. For Willoughsby to appoint the Living one as Tarant ambassador they must have the Persuasion skill at maximum with expert training and the quest Monument Planning in Ashbury must not have been failed. Leaving office the Living One will be stopped by Heinrick Jenks who can start the quest assassinate King Farad of Caladon.Willoughsby can be informed about the plot and he will order Lorham to kill Jenks. If he is already dead Willoughsby can still be informed but the dialogue is brokenSee Bugs. After the Living One is approved and nominated Ambassador, they will be given a dossier with Willoughsby's advices about the topics of the negotiations and asked to met Renard outside Caladon Royal castle After talking with Renard, the Podium in the throne room will be interactable. In the corridor before, there are various Caladonian representative waiting, they will offer bribes in exchange for specific requests to be included in the agreement. The negotiations After interacting with the ""Wooden Object"" in the throne room, the Council of Advisors will start asking about the topics mentioned in the dossier.There are two point counters, one for Caladon and one for Tarant; each answer will increase both counter by a number between 0 and 5.They generally follow this pattern ( except for the Labor union question where there is no compromise that favor Caladon). The representative's request, only appears if spoken with, heavily in favor of Caladon or it's disapproved by both sides. Tarant's best-case scenario Edward Willoughsby's advice, a compromise that slightly favor Caladon over Tarant. A compromise that slightly favor Tarant over Caladon. An Extreme option that's heavily in favor of Tarant or it's disapproved by both sides. With Charisma 19 the Living one can easily win over the Advisors and make them agree to Tarant's best-case scenarios. With lower Charisma they will need to compromise. In this table are reported all the answers and their correspettive points. If Caladon counter is higher then 22, the Council of Advisors will accept the Agreement; if it's lower or equal they will refuse, making the quest incompletable and forsake any reward.The representatives will reward the promised gp in the case that their request was included in the agreement. Willoughsby will be waiting outside the castle to evaluate the Living one performance.There are three different possible reaction based on Tarant's counter: Tarant's counter is lower then 26, A disappointing performance, Willoughsby will imply that bribes were involved and only reward 3000 gp. Tarant's counter is between 26 and 37 An impressive performance, Willoughsby will reward 7000 gp and Master training. Tarant's counter is higher then 37 An incredible performance, Willoughsby will reward 11000 gp, Master training and the reputation Honorary Ambassador to Tarant 8500 XP will always be rewarded unless the Advisors refused the Agreement."
https://arcanum.fandom.com/wiki/Negotiations_with_Caladon,Negotiations with Caladon: Notes,"Willoughsby will comment about Orator of Ashbury reputation from the quest Monument Planning. Willoughsby will remain in Caladon for the rest of the game. The City Hall dialogue will be inaccessible, making it impossible for Sebastian to appear in The Boil. If the copy of the Agreement is somehow lost, the living one can still report its content to Willoughsby. After the negotiations are completed, independently of the result, King Farad will be ""Leaving immediately for Tarant"" and disappear; furthermore, the quest will be botched if the King is killed. Making it mutually exclusive with Assassinate King Farad of Caladon. There is a cut outcome left in the game code. If Tarant's counter was lower or equal to 1, currently an impossible result, Willoughsby would have been furious and wouldn't have given a reward,"
https://arcanum.fandom.com/wiki/Negotiations_with_Caladon,Negotiations with Caladon: Bugs,"If the Living one kills Heirnick Jenks in the City Hall, Willoughsby is supposed to reward 500 gp when reported too. The requirement to unlock the Department of the Treasury bribe is supposed to be rank 4 Haggle but it won't work no matter the Haggle rank."
https://arcanum.fandom.com/wiki/Find_Proof_that_Maxim%27s_Air_Machines_Flew,Find Proof that Maxim's Air Machines Flew: Short Description,"31 Hieronymous Maxim: Find proof that heavier-than-air machines actually flew. (Reward: Master Repair training and/or medical arachnid and schematic, 9900 XP.)"
https://arcanum.fandom.com/wiki/Rescue_Mrs._Rolland_Unharmed,Rescue Mrs. Rolland Unharmed: Short Description,"This is a work in progeressFor the firearms mastery quest you have to find William Thorndop. During the conversation you'll learn that he has joined the Halcyon Order and no longer neither trains people, nor hold the weapon himself. During the initiation he had his thumb and index finger removed. Shortly after the conversation ends, however, you will be approached by a halfling, desperately asking to save his wife from the gang that kidnapped her, in order to face William. Not being able to hold a weapon, he asks you to help.The gang is hiding in the barn to the East. Once you approach them, a member will start attacking the wife. You have to kill all the members before the wife dies. It is highly advisable to have a means to resurrect her. Should you successfully finish the quest, William will reluctantly make you a firearms master if you insist. If not he will give you his looking glass rifle.Note: Don't skip dialogue with William Thorndop to decide later what you want or else you will not get anything when talking to him again. Neither the rifle or mastery. You still can pickpocket his rifle if you want. Also, do not loot the smoke grenade from one of the gang members - it is bugged and will permanently damage your inventory, while keeping to multiply without means to get rid of the ever-increasing copies."
https://arcanum.fandom.com/wiki/Free_J.T._Morgan,Free J.T. Morgan: Short Description,"To start the Mastery quest you must find R.L. Morgan of (Roseborough). She will tell you that her son J.T is locked up in Caladon's prison and will ask you to deliver his lockpicking tools to him. The prison entrance is underground, and the entrance is next to the police department.The master of Pick Locks, J.T. Morgan, can be found in the Caladon prison. He is securely locked up and cannot be broken out. Talking with the guards reveals his mother lives in Roseborough.She is a gnome wearing a blue vest in one of the houses in the northern parts of Roseborough. Talk to her about his predicament and she will give you his special master locksmith tools, with the agreement that he will train you if you break him out.Getting into the prison generally requires stealth and lockpicking or brute force. Once there, talk to him and he will confer Master status on you.63 Mrs. Morgan: Free son, JT Morgan. (Reward: Master Pick Locks training, 8500 XP.)"
https://arcanum.fandom.com/wiki/Survive_the_Training_Maze,Survive the Training Maze: Short Description,"27 Daniel McPherson: Survive training maze beneath house. (Reward: Master Trap Disarm training, glasses that improve your perception, 4600 XP.)Master QuestTo get master training, you just have to prove yourself to McPherson. To do that, accept the key that he gives you and then head down through the trap door in his house. You’ll find yourself in a maze of sorts, and all you’ll have to do is walk through all of the tunnels and then go back up the ladder and talk to McPherson. The traps in the maze aren’t any worse than the traps in the rest of the game, so you can simply bite the bullet and walk right through them if you have a competent healer with you. Note: When McPherson trains you he’ll also give you trapmaker spectacles (+2 dexterity, +2 perception) which are pretty nice.Leaving the maze through the door you came in from rather than navigating the tunnels and going up the ladder also completes the quest."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 01 - Finding out about the ring,"So, you've got this ring you got from a gnome, and you want to find out about it. The first person to ask would be the gnome standing a bit to the northeast of the town well. He will ask you about the crash if you talk to him, and will be especially interested in the ring if you tell him about it. This little bastard is obviously not to be trusted, so don't give him the ring. He'll attack you for it later, but he's a wussy little gnome so you have nothing to fear. The next person to ask about the ring is Ristezze of Ristezze's Imported Goods, right next to the blacksmith. Ask him all about the ring. He will tell you everything, EXCEPT for where P. Schuyler & Sons, the store that originally sold it, is located. There's a couple of ways you can get this info from him: Trade him Bessie Toone’s boot (found in Bessie Toone’s mine) or the camera found on the body of Isaac Zapruder (crash site) for it. In the full game, I suggest you hang on to the camera, as it might help later on. A charismatic, persuasive character can use flattery to trick Ristezze into revealing the location. The necessary info can also be found on a piece of paper in Ristezze's back room. Ristezze has the key. The regular methods apply: you can kill Ristezze, pickpocket him, or just pick the lock or bash in the door."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 02 - Getting Information at P. Schuyler and Sons,"P. Schuyler and Sons is at 44 Devonshire Way. Inside you find James Kingford who fobs you off. To continue, you can: Kill him, quick and messy Pick pocket his key Convince him that you belong to the Tarant Authorities and he needs to cooperate (which can lead to his death) You can then use it to go down the trapdoor in the back room. This leads to a room full of zombies and some random treasure. Once the zombies are dispatched, you can go down the next trapdoor. This leads to a tunnel with even more zombies and traps. Go down the next trapdoor. Here you will find a dwarven tomb. You will find the Schuylers here. To get the information you require you can Kill them all, find they key and open the wood chest Use your pick pocket skill to get the key Come to an agreement with them to get the information (this will annoy Magnus) Use you pick locks skill to open the wood chest. In the end, you find that the ring belongs to Gilbert Bates, so you must talk to him."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 03 - Talking With Gilbert Bates,"Getting into Bates Estate is you first challenge. Possible solutions include: Fighting your way in Convincing the Captain of Bates Guard that you are an old friend Prowling and Lockpicking your way through the front entrance Protecting the Bates Factory for the night Talking with Cedric Appleby (who asks you to blow up Gilberts Bates factory) and then turning him in Talking with Cedric Appleby (who ask you to blow up Gilbert Bates factory) and then blowing it up. He will then give you 300 gold, he will then give you servants clothing and ask you to find incriminating evidence on Mr. Bates. You may need to find more servants clothing for any followers you have. Talking with Cedric Appleby and not agreeing to blow up the factory and instead offer to expose him. He will then give you a key to the Mausoleum which has a secret passage to the Bates Estate (this is full of traps). Once there you will find servant’s uniforms in chests. Once you are in, breaking into the back room to get any incriminating evidence can be tricky. Without violence, it requires lockpick skills and extreme timing or lockpicking and prowling. Note – As long as you have talked with Cedric Appleby before joining Bates side, you can still expose Bates as a fraud after dealing with Bates. You should wait for a while as it makes completing further quests more difficult. When you give it to Cedric Appleby, he will pay you 500 gold. He can be pressured into increasing this to 700 gold depending on your skills."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 04 - Investigate the Black Mountain Clan,"Forcing the town of Stillwater first and setting up a base of operations there can be a big help for exploring the mines. The first two levels of the mines are full of evil creatures. How you get through them depends on your playing style. Don’t be afraid to avoid confrontation and/or come back later if you can’t seem to get past. Ore Golems, Seething Masses and Granite-Rats can be particularly deadly for low level characters. At the end of 2nd level you will start to find dead Molochean hand members. The tunnel here goes back to an unreachable part of level 1. Ahead of you is two doors. The closest door leads down to you eventual destination, while the other door leads to more rooms you can explore (with more evil creatures and Molochean hand members alive and dead) These levels begin to be trapped very heavily and can decimate you party if you are not careful. After some exploring you will come to a long trap infested tunnel. At the end of this you will find Gudmund Ore Bender and the pillar of truth. This will tell you that the Black Mountain Clan Dwarves have been banished to the Isle of Despair."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 05 - Getting To Isle of Despair,"Returning to Gilbert Bates and telling him the news, he will offer to pay you 300 gold (which you can negotiate up to 400) to investigate further. He suggests you visit Edward Teach in Ashbury. He can take you to the Isle of Despair. Pick up the book on the wharf before you go, it can help. Once there, talking with the guards reveals you must talk with Thorvald. To talk to him you must get past his guard Orgin Big Fist. Possible solutions: Use your lockpick skills to break in Fight in the pits to prove your worth (if you continue going back to the pits, eventually no-one will fight you anymore and you get the reputation of pit-master). You can convince him to let you in (the book you found on the wharf can help you in this as he enjoys a good read). Once inside you need to talk with Thorvald to get more information of the whereabouts of the Black Mountain Clan. You find out that the Black Mountain Clan were never on the Isle of Despair and should talk more with the Wheel Clan leader Loghaire. Solutions depend a lot on your abilities. You can kill him Pick the lock to his chest (in there you will find a book telling you of the location of the wheel clan and the schematics for the special glasses required). After leaving the island, if you cannot use the schematics, in this case you need to go to Raymond’s Fine Spectacles on the wharf and he will make them for you for 1000 gold. Pick pocket his glasses Convince him to join with you Convince him to give you his spectacles Pay him to give you the information you require. Once leaving you will find that Captain Teach has had a few “minor” problems with the locals and he can now take you back to Ashbury. You can go back to Gilbert Bates and keep him posted and get your pay. When you are ready, you should head to the Wheel Clan"
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 06 - Wheel Clan,"If you have Thorvald with you, he leaves at this point and your reputation with the dwarves increases. You also gain a reputation as his saviour. It is a good idea to talk with the dwarves around the wheel clan. You find that the king, Loghaire has exiled himself. After talking with the guards at the door, you must talk with Randver Thunder Stone, the son of Loghaire Thunder Stone. Depending on your intelligence, charisma and other skills, you can learn a lot from him. Learning about the Stone and Shape are critical for restoring The Iron Clan. He will tell you that he knows where his father is and shows you a secret passage. Other character types won’t be able to convince him to reveal more about his father and hence will have to traverse through the dredge (and deal with the monsters within). After then end of the discussion you must talk with the guard at the entrance to the dredge and he will let you in. When you reach Loghaire, you will find that he had to banish the dwarves on the insistence on elves of Quintarra. Depending on your intelligence, charisma and other skills, you can convince Loghaire to return to his people (giving you another reputation and hero status with the Wheel Clan), or he will stay down in the dredge. He may also give you a dwarven axe that is especially powerful for good and/or dwarven characters. You can go back to Gilbert Bates and keep him posted and get your pay. You must then find Quintarra."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 07 - Finding Quintarra,"Travelling to Stillwater and talking to the inhabitants there, you find that Myrth may know where Quintarra is. Talking with Myrth, two outcomes are possible : either you're an elf and he'll make fun of you, or you're not and he agrees to tell you where Quintarra is, if you return the pelt of the Stillwater Giant to him. He tells you to talk with Stanley Xavier Hippington. He will tell you tales of the Stillwater Giant and its unique ability to transform itself into a blue rabbit. He will give you a trap and scent to attract it and tells you to search the cave behind his house. He advises you strip naked as otherwise you will startle it. Catching the rabbit is merely a matter of putting the trap in one of you quick slots and the clicking on the rabbit. Talking with Stanley again, he asks you to take the rabbit to the Dr. Fenwick of the zoological society in Tarant to authenticate it. If you talk to Myrth about the blue rabbit he merely laughs at you. Returning to Tarant and talking with Dr. Fenwick, he merely laughs at you and tells you to go visit H.T Parnells. You can get the pelt from him by: Buying if for 2000 (you can knock this down to 1250 depending on your skills) Stealing it while he is asleep Convincing him to give it to you (and pretend it has been stolen). Upon returning to Stillwater, Myrth will tell you the location of Quintarra if you give him the pelt (depending on your skills you can tell the truth how you found it or spin him a tale of heroism). He also has the amulet of N’Tala on him. (The one the healer in Shrouded hills was looking for). Another way of finding Quintarra is getting the amulet (via thievery or combat) and taking back to the healer in Shrouded Hills who will then tell you its location."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 08 - Getting Answers at Quintarra,"When travelling to Quintarra through Hardin’s Pass you will find the REAL Stillwater Giant. Upon arriving to Quintarra, you need to find the silver lady spoken of when talking with Loghaire. Before doing so, you must convince the silver lady’s daughter, Raven, to let you in to see her. You must remove the humans from the sacred elven grove – Falcon’s Ache, without using violence. William Bench and his men are planning to log the surrounding forests. If you attack him, your entire party will die. Possible solutions Antagonize William Bench so he will attack you (resulting in the his untimely death) Convince him that you are working for Gilbert Bates and it is in his interests to forget about the grove. Returning to Quintarra and talking with Raven, she lets you talk with the Silver Lady. The Silver Lady speaks in riddles, after finishing talking with her and speaking with Raven who interprets what she has said, it seems you must return to Tarant to find an individual called Renford A. Terwilliger."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 09 - Finding Out About Renford A. Terwilliger,"Returning to Tarant and talking with the inhabitants they either recommend you go to the hall of records or suggest you visit the cemetery. It turns out that Renford A. Terwilliger is dead (under mysterious circumstances). Possible ways of obtaining this information: Visiting Tarant cemetery and finding his grave, and then visiting the Hall of Records Talking with clerk at Hall of Records Breaking into Hall of Records and finding newspaper article Finding he is dead, the next step is to find the book he wrote “Horror Among the Dark Elves”"
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 10 - Finding Horror Among the Dark Elves,"The best place to start to find any book is the local library. Visiting the Tarant library, you can find out information by: Becoming a member for 1500 gold (depending on your skills you can negotiate this down to 500 gold) and enquiring about the book. She will give you a related book “The Curse of Tsen-Ang” Pickpocketing the book Killing her and taking the book Reading the book you find that there is one remaining copy of the book and it resides in Caladon with Victor Misk."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 11 - Talking With Victor Misk,"Travelling to Caladon and talking with the locals reveals that Victor Misk lives at 9 Gray Wolf Terrace. Talking with Wesley the Butler and Mrs. Misk, you find that Victor Misk is dead. Mrs. Misk asks you to see if you can find out who was responsible for telling Kendrick Wales that Mr. Misk had the book (See ==Caladon== quests for quest details). Visiting the cemetery, you can find out where Victor Misk is buried by talking with the dwarven graveyard worker, Bingham Shulefest (if you have Magnus in the party, he confuses him for someone else). If Virgil is in the party, he will go off to visit the grave of Lawrence Brummond and is very cagey when you speak of him. Note - As part of solving the “person responsible” quest, you can find out at the Tarant Hall of Records that Lawrence Brummond was murdered and he had a brother Virgil. You can dig up Victor Misk’s grave (if you have a shovel), keeping his skull for a souvenir, but the real prize is the book buried with him. This book tells how Nasrudin defeated Arronax. It came from the Roseborough gift shop. Speaking with Mrs. Misk, she tells you where Roseborough is located. When in Roseborough, discussions with the Innkeeper about the matchbook found on the dying gnome will reveal that Mr. Razzia of Caladon sold him a fake passport. Talking with him in Caladon reveals that shortly after he sold the passport to Preston Radcliffe, some men forced information out of him about the IFS Zephyr. With some investigation it becomes apparent that they then broke into Maxim’s factory, stole the aircraft, burnt his factory down and then proceeded to attack the Zephyr. Visiting the Roseborough cemetery, finds the grave of Victor Misk’s father. A short stint of digging later reveals the book “Horror Among the Dark Elves”. You should now head to Tsen-Ang."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 12 - Tsen Ang,"Upon reaching Tsen-Ang, speaking to the guards and asking for M’in Gorad, they will let you in providing you have a Molochean Hand Amulet. Find M’in Gorad and talk to her. This is the main area where the game can branch dramatically. If you are evil, you can join her side. To prove your allegiance you must kill all the inhabitants on Stillwater and return when complete. She will then tell you to talk with the high priest of the Panarii in Caladon. You can talk to her and get enough information You can talk to her and convince her to let you go in exchange for your ""services"" You can kill her (and read the note she has) Pick pocket her note and read it Convince her that you are an assassin and the contract has been completed Find out the information and then charm her, resulting in ""parental recreational activities"". After leaving her, you will meet up with a member of the Molochean Hand. Again, results may vary. Virgil Upon leaving Tsen-Ang, if Virgil is in the party and you are following the good path, he will leave saying that he has business to attend to. It is imperative that you take anything you want from him (strip him naked if you wish). Either by the information gathered from the newspaper, detective work, or random searching you will find Virgil in the cellar under the Sobbing Onion in Caladon, dead, killed by thieves After killing the thieves he can be resurrected (a scroll can be found in the chest nearby) You find him a changed man, he will tell you his true origins. He is very different indeed, having different abilities and a different levelling scheme (now Zen Virgil). Note he is also now level 25, so most people will now be rather annoyed at all the levels he has lost. It is possible to complete all the main quests and get to this point by level 25 but is quite difficult (you need to avoid most combat situations or let your followers do the fighting; another possibility is increasing the difficulty of the game in the game settings menu, which decreases the amount of experience you gain and needs to be done at the start of the game). Finally Joachim turns up and gives tells you some more details. Vollinger If Vollinger is in the party and you never read Joachim’s book, he will also leave and tell you to meet him at Vollinger’s Meeting place, alone (similarly strip him naked as well). At this point in time, he will reveal himself as a Molochean hand assassin and try and kill you. He will have changed to a level 30 character as well. If you read Joachim’s book and discuss the history of the Molochean hand with, he will reveal himself to you as an assassin but he now believes you are no longer his enemy you no longer have to worry about him trying to kill you. If you joined M’in Gorad, you must then visit the Panarri temple and talk with K’an Hua. If you did not join M’in Gorad, you now have to return to Quintarra and talk with the Silver Lady again."
https://arcanum.fandom.com/wiki/The_Main_Quest,The Main Quest: Part 13 Evil - Following the Evil Path,"After leaving T’sen Ang, you should travel to Caladon. If you happen to stop by Quintarra, they will be most upset (oh, well one town destroyed, another one won’t matter). On the Caladon Bridge, you will meet Elder Joachim. He is furious with you and Virgil for killing all the inhabitants of Stillwater. As he is a 50th level mage, he has the power to back up his arguments. (Some 340 hitpoints). On reaching the temple, talking with Alexander, he will let you in. Speaking to the elven guard below, they will let you in to see K’an Hua. He tells you the tale of Arronax (from his perspective). He asks you to retrieve the Vendigroth device, you can get assistance from a halfling imprisoned in Dernholm or go directly to Dark Elf Camp looking for the Vendigroth Ruins. To get in the prison, you have to annoy the guards (behind the Dernholm palace). It may be a good idea to stock up fatigue/healing potions before you do this. In prison there are a number of high level inmates who will attack you on sight. Exploring, you will find Tollo Underhill, an aggressive halfling who will give you a map showing where the Vendigroth device is, in return for his freedom. Fighting your way out to the west you will find a passage leading up and out of the prison. Then it is just a matter of travelling to the Dark Elf camp. You will find it deserted with a sole dead elf remaining. Searching his body you will find a book that shows you where you can find the Vendigroth ruins. Searching the Vendigroth ruins is a bit easier with the map in hand. Returning to Roseborough, you must decide whether to hand over the device, lie and tell him that it has been destroyed or attack him (in any case you will end up in the void)."
